product_id,product_name,category,price,updated_at
1,Product 1,Fashion,1033.01,2026-08-28 10:00:00
2,Product 2,Electronics,3329.02,2026-08-28 10:00:00
3,Product 3,Grocery,2175.54,2026-08-28 10:00:00
4,Product 4,Fashion,4332.8,2026-08-28 10:00:00
5,Product 5,Electronics,3399.49,2026-08-28 10:00:00
6,Product 6,Electronics,397.0,2026-08-28 10:00:00
7,Product 7,Grocery,4022.9,2026-08-28 10:00:00
8,Product 8,Electronics,1318.42,2026-08-28 10:00:00
9,Product 9,Home,2727.8,2026-08-28 10:00:00
10,Product 10,Home,2167.22,2026-08-28 10:00:00
11,Product 11,Grocery,2366.88,2026-08-28 10:00:00
12,Product 12,Electronics,2271.34,2026-08-28 10:00:00
13,Product 13,Electronics,347.88,2026-08-28 10:00:00
14,Product 14,Electronics,4848.08,2026-08-28 10:00:00
15,Product 15,Home,914.92,2026-08-28 10:00:00
16,Product 16,Fashion,2458.66,2026-08-28 10:00:00
17,Product 17,Fashion,4521.97,2026-08-28 10:00:00
18,Product 18,Home,1956.97,2026-08-28 10:00:00
19,Product 19,Fashion,1399.49,2026-08-28 10:00:00
20,Product 20,Fashion,1497.72,2026-08-28 10:00:00
21,Product 21,Fashion,858.5,2026-08-28 10:00:00
22,Product 22,Grocery,1166.73,2026-08-28 10:00:00
23,Product 23,Electronics,2937.98,2026-08-28 10:00:00
24,Product 24,Electronics,3765.08,2026-08-28 10:00:00
25,Product 25,Electronics,345.7,2026-08-28 10:00:00
26,Product 26,Fashion,2563.97,2026-08-28 10:00:00
27,Product 27,Home,378.71,2026-08-28 10:00:00
28,Product 28,Electronics,4271.58,2026-08-28 10:00:00
29,Product 29,Electronics,3015.67,2026-08-28 10:00:00
30,Product 30,Home,2078.5,2026-08-28 10:00:00
